Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
35,6,0.9726,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['menteri', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'imbau', 'tolak', 'makam', 'jenazah', 'pasien', 'covid', 'number', 'allcaps', 'opm', 'allcaps', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah', 'papua_barat', 'papua_barat', 'makam_jenazah']"
36,0,0.9204,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bumi', 'repeated', 'maaf', 'repeated', 'sadar', 'repeated', 'kau', 'butuh', 'istirahat', 'repeated']"
37,7,0.8749,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['covid', 'jam', 'gin', 'daki', 'pos', 'cangkuang']"
38,7,0.9619,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['developers', 'biang', 'rusuh', 'proyek', 'konstruksi', 'swasta', 'kecuali', 'freeze', 'psbb', 'dki', 'gub', 'permenkes', 'kecuali', 'proyek', 'number', 'konstruksi', 'potensi', 'kluster', 'sebar', 'covid', 'padat', 'bijimane']"
39,7,0.9374,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['ayo', 'elongated', 'repeated', 'putus', 'mata', 'rantai', 'semangat', 'covid', 'number', 'indonesia', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
40,2,0.9326,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['sinergitas', 'allcaps', 'tni', 'allcaps', 'allcaps', 'polri', 'allcaps', 'cegah', 'sebar', 'virus', 'covid', 'number']"
41,7,0.5587,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kucing', 'sebar', 'allcaps', 'covid', 'allcaps', 'number', 'manusia', 'jabat', 'khidmat', 'veterinar']"
42,2,0.9203,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['pemkab', 'wondama', 'banyak', 'pos', 'pantau', 'covid', 'number', 'allcaps', 'opm', 'allcaps']"
43,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'covid', 'allcaps', 'number', 'ajar', 'allcaps', 'unimas', 'allcaps', 'usia', 'number', 'maut']"
44,0,0.9602,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['murid', 'mama', 'kasih', 'tugas', 'gambar', 'poster', 'cegah', 'covid', 'number', 'anak', 'nya', 'nggambar', 'virus', 'gede', 'gaban', 'bawah', 'kasih', 'tulis', 'iya', 'allah', 'lindung']"
45,4,0.9513,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['luas', 'pandemi', 'coronavirus', 'disease', 'number', 'covid', 'number', 'indonesia', 'papua', 'dampak', 'sektor', 'salah', 'satu', 'hotel', 'allcaps', 'opm', 'allcaps']"
46,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['gelombang', 'virus', 'corona', 'allcaps', 'covid', 'allcaps', 'number', 'mutasi']"
47,2,0.5975,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['bantu', 'masyarakat', 'alir', 'rekening', 'gugus', 'tugas', 'covid', 'number', 'isi', 'rupiah', 'number', 'miliar', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
48,0,0.9726,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['number', 'mnyuruh', 'covid', 'number', 'sgera', 'pergi', 'allah', 'sang', 'maha', 'cipta', 'bukankh', 'covid', 'number', 'didik', 'suasana', 'covid', 'number', 'aktif', 'sebar', 'orang', 'takut', 'orang', 'dekat', 'berdzikir', 'doa', 'mohon', 'lindung', 'allah', 'sang', 'kholiq', 'repeated']"
49,0,0.9513,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['malaysia', 'kena', 'covid', 'teman', 'teman', 'lo', 'kerja', 'pulang', 'indonesia', 'number', 'ribu', 'orang', 'ber', 'resiko', 'bawa', 'virus', 'pulang']"
50,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['skrinews', 'allcaps', 'cegah', 'sebar', 'virus', 'corona', 'allcaps', 'allcaps', 'wartawan', 'media', 'skri', 'satgas', 'rawan', 'covid', 'allcaps', 'number', 'allcaps', 'desa', 'allcaps']"
51,6,0.9124,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['lebaran', 'sebentar', 'gara', 'covid', 'number', 'lebaran', 'butuh', 'aksesoris', 'iya']"
52,2,0.9203,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['giat', 'bhabinkamtibmas', 'masyarakat', 'semprot', 'disinfektan', 'cegah', 'sebar', 'virus', 'covid', 'number']"
53,6,0.8748,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['kasih', 'sayang', 'allah', 'musibah', 'covid', 'number']"
54,3,0.6568,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['anggota', 'polsek', 'koba', 'himbau', 'pemuda', 'kumpul', 'kumpul', 'pulang', 'rumah', 'cegah', 'sebar', 'allcaps', 'covid', 'allcaps', 'number']"
55,0,0.9757,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['met', 'pagi', 'allcaps', 'nkri', 'allcaps', 'repeated', 'spy', 'trlalu', 'heboh', 'data', 'mati', 'covid', 'number', 'repeated', 'jadi', 'banding', 'mati', 'prop', 'indon', 'sblm', 'wabah', 'corona', 'indon', 'repeated', 'jk', 'tara', 'mati', 'sblm', 'corona', 'repeated', 'angka', 'mati', 'norma', 'sj', 'repeated']"
56,7,0.9375,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['tido', 'la', 'nak', 'harap', 'azali', 'takde', 'hati', 'cuba', 'harap', 'covid', 'takde', 'je', 'je']"
57,0,0.9203,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['cegah', 'sakit', 'wabak', 'allcaps', 'covid', 'allcaps', 'number', 'sila', 'baca', 'risalah']"
58,0,0.9726,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['iya', 'sel', 'lihat', 'dengerin', 'lukman', 'sardi', 'bilang', 'rumah', 'sakit', 'penuh', 'suruh', 'pulang', 'orang', 'awam', 'tau', 'usir', 'triase', 'allcaps', 'jkt', 'allcaps', 'parah', 'banget', 'covid', 'shg', 'orang', 'sakit', 'parah', 'mlh', 'jadi', 'kena', 'triase']"
59,0,0.9635,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['kopi', 'pagi', 'nikmat', 'kabar', 'baik', 'perintah', 'aceh', 'salur', 'bantu', 'pokok', 'masyarakat', 'dampak', 'covid', 'number', 'kriteria', 'terima', 'allcaps', 'pkh', 'allcaps', 'allcaps', 'bpnt', 'allcaps', 'syukur']"
60,2,0.5762,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['date', 'polri', 'tindak', 'number', 'simpang', 'produksi', 'distribusi', 'allcaps', 'apd', 'covid', 'allcaps', 'number']"
61,4,0.9416,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['eh', 'bacot', 'parah', 'covid', 'repeated', 'anjing', 'sia', 'bele', 'repeated', 'pantat', 'koreng', 'repeated', 'sok', 'blgu']"
62,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['lumpuh', 'peran', 'negara', 'tangan', 'covid', 'number', 'tegak', 'wujud']"
63,1,0.9663,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'repeated', 'cocok', 'banget', 'era', 'allcaps', 'covid', 'allcaps', 'number', 'repeated', 'colek', 'colek', 'hidung', 'normal', 'nggak', 'allcaps', 'covid', 'allcaps', 'number']"
64,1,0.9763,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['allcaps', 'kejut', 'allcaps', 'repeated', 'terkanjat', 'je', 'warga', 'indonesia', 'kejut', 'tindak', 'perintah', 'malaysia', 'jaga', 'rakyat', 'beri', 'pelbagai', 'insentif', 'dsaat', 'laksana', 'allcaps', 'pkp', 'allcaps', 'ikut', 'tular', 'wabak', 'allcaps', 'covid', 'allcaps', 'number', 'baca', 'komen', 'warga', 'indonesia', 'ruang', 'komen', 'youtube']"
65,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['sugeng', 'ambal', 'warso', 'repeated', 'bahgia', 'covid', 'atas', 'giat', 'repeated']"
66,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['tinggal', 'covid', 'number', 'emak', 'lahir', 'dek', 'emak', 'tau', 'emak', 'hawa', 'nafsu']"
67,4,0.8079,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['susah', 'kek', 'putus', 'mata', 'rantai', 'allcaps', 'covid', 'allcaps', 'number', 'indonesia', 'budaya', 'masyarakat', 'mayoritas', 'belanja', 'pasar', 'tradisional', 'rumah', 'ngereceh', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
68,3,0.9619,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['number', 'langkah', 'ambil', 'perintah', 'atas', 'dampak', 'covid', 'number', 'kerjasama', 'internasional', 'kumpul', 'data', 'sakit', 'mati', 'duduk', 'number', 'periksa', 'klinis', 'fisik', 'laboratorium', 'tega', 'diagnosis']"
69,0,0.9123,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['kurang', 'risiko', 'awda', 'jangkit', 'virus', 'allcaps', 'covid', 'allcaps', 'number']"
70,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tips', 'ilmuwan', 'tingkat', 'kebal', 'tubuh', 'mari', 'lawan', 'covid', 'number', 'sistem', 'tahan', 'tubuh', 'mekanisme', 'efektif', 'jaga', 'tubuh', 'serang', 'sakit', 'via']"
71,6,0.9619,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['selamat', 'ingat', 'jumat', 'agung', 'selamat', 'makna', 'arti', 'korban', 'nya', 'sungguh', 'cinta', 'kasih', 'korban', 'lawan', 'covid', 'number', 'buah', 'datang', 'paskah', 'happy', 'good', 'friday']"
72,5,0.9326,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['pandemi', 'covid', 'number', 'mendikbud', 'dana', 'allcaps', 'bos', 'allcaps', 'beli', 'kuota', 'internet', 'siswa']"
73,3,0.9676,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['moga', 'sehat', 'jasmani', 'rohani', 'iya', 'dok', 'moga', 'lindung', 'allcaps', 'allah', 'swt', 'allcaps', 'hindar', 'fitnah', 'dajjal', 'moga', 'mulut', 'senantiasa', 'berdzikir', 'insyaallah', 'mjdi', 'tameng', 'virus', 'covid', 'number', 'ikhtiar']"
74,4,0.476,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'repeated', 'serba', 'serbi', 'allcaps', 'mmc', 'allcaps']"
75,0,0.9513,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['moga', 'sembuh', 'coba', 'lg', 'tulis', 'corona', 'tentara', 'allah', 'virus', 'kenal', 'sara', 'mari', 'doa', 'spy', 'wabah', 'moga', 'elongated']"
76,6,0.9374,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['hati', 'hati', 'cegah', 'corona', 'repeated', 'pangeran', 'charles', 'papar', 'covid', 'number', 'hidup', 'hati', 'jaga']"
77,2,0.708,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['gejala', 'covid']"
78,6,0.9649,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['kemarin', 'depan', 'tau', 'wabah', 'covid', 'number', 'rubah', 'semu', 'doannya', 'samal', 'allah', 'mintannya', 'rahmat', 'lindung', 'mudah', 'orang', 'untung', 'sok', 'kuat', 'kakak', 'repeated', 'atur', 'sok', 'atur']"
79,0,0.8248,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['covid', 'renang', 'ra', 'to']"
80,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['anies', 'repeated', 'beliau', 'jajar', 'konsisten', 'lawan', 'covid', 'number', 'jegal', 'pusat', 'repeated']"
81,6,0.9635,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['sebab', 'pandemik', 'allcaps', 'covid', 'allcaps', 'number', 'penjara', 'sosial', 'norma', 'baharu', 'sekurang', 'nya', 'tempoh', 'sekurang', 'nya', 'kawal', 'pantau', 'batal', 'himpun', 'himpun', 'ramadan', 'aidilfitri', 'haji']"
82,2,0.9027,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['san', 'bernardino', 'county', 'allcaps', 'covid', 'allcaps', 'number', 'data']"
83,2,0.8905,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'dpr', 'allcaps', 'bentuk', 'timwas', 'covid', 'number']"
84,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['serba', 'salah', 'mas', 'nggak', 'konpers', 'nggak', 'transparansi', 'tanggulang', 'pandemi', 'covid', 'number']"
85,3,0.9708,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['sehat', 'iya', 'ustadz', 'repeated', 'moga', 'allah', 'allcaps', 'swt', 'allcaps', 'lindung', 'keluarga', 'fakta', 'ustadz', 'repeated', 'dana', 'didik', 'pakai', 'tangan', 'covid', 'number', 'repeated', 'jelas', 'dana', 'sok', 'pindah', 'kota', 'repeated', 'miris', 'elongated']"
86,1,0.9374,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['allcaps', 'baznas', 'allcaps', 'buka', 'donasi', 'covid', 'number', 'smart', 'shadaqah', 'allcaps', 'bni', 'allcaps', 'syariah']"
87,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['bayang', 'allcaps', 'ijazah', 'allcaps', 'bsk', 'lambang', 'allcaps', 'covid', 'allcaps', 'number', 'nya']"
88,0,0.9204,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['mangtanku', 'besok', 'akad', 'ciyee', 'meni', 'tengah', 'pandemi', 'covid', 'number', 'ciyee']"
89,0,0.69,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['wujud', 'cinta', 'kasih', 'duka', 'warga', 'malu', 'tinggal', 'salah', 'putra', 'baik', 'malu', 'kaka', 'cinta', 'sadar', 'virus', 'covid', 'number', 'dimanadan', 'ancam', 'takut', 'kalah', 'orang', 'duka', 'mohon', 'bully']"
90,0,0.927,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['wow', 'repeated', 'tanggulang', 'covid', 'wisma', 'atlit', 'butuh', 'rawan', 'yu', 'elongated', 'sayang']"
91,4,0.9374,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['sehat', 'mental', 'baca', 'berita', 'covid', 'hari', 'apa', 'baca', 'hirau', 'skip', 'untk', 'esok', 'lusa']"
92,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'number', 'milik', 'arti', 'co', 'corona', 'vi', 'virus', 'disease', 'sakit', 'angka', 'number', 'number', 'wakil', 'moga', 'puas', 'jwban', 'halo', 'luna']"
93,6,0.9416,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['jalan', 'bantu', 'kuasa', 'menanggani', 'tular', 'wabak', 'covid', 'number', 'ft', 'number', 'number', 'ft', 'number', 'number']"
94,2,0.9562,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['contoh', 'kondisi', 'terap', 'alat', 'kam', 'apotek', 'meminimalisir', 'tular', 'allcaps', 'covid', 'allcaps', 'number', 'kondisi', 'apotek', 'silah', 'share', 'tag', 'medsos', 'hashtag']"
95,6,0.9676,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['am', 'mrs', 'lestari', 'abyasa', 'balikpapan', 'terima', 'kasih', 'allcaps', 'rika', 'anderson', 'pinjam', 'allcaps', 'pinjam', 'jamin', 'number', 'juta', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'hubung', 'wa', 'phone', 'email', 'number']"
96,5,0.7858,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['tunggu', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'reda', 'sabar', 'iya', 'selamat', 'orang']"
